,noise level,max amplitude,above-thld pixels,above-thld pixels std,algorithm,c,reg,eps
10,0.05,0.0007697639611394105,"[[ 5  5  5 ... 39 39 39]
 [23 24 25 ... 30 31 32]]","[[198.27796381]
 [186.74586655]]",kbcm,-0.5,0.075,
11,0.05,0.0006911165010176235,"[[ 3  3  3 ... 42 42 42]
 [23 24 25 ... 29 30 31]]","[[256.48584145]
 [245.05868838]]",kbcm,-0.5,0.1,
12,0.05,0.0005474748753579904,"[[ 0  0  0 ... 49 49 49]
 [13 14 15 ... 28 29 30]]","[[421.43119489]
 [417.66328351]]",kbcm,-0.5,0.25,
13,0.05,0.0004970679213355223,"[[ 0  0  0 ... 49 49 49]
 [ 6  7  8 ... 40 41 42]]","[[486.78761469]
 [486.88959721]]",kbcm,-0.5,0.4,
14,0.05,0.000476441526658831,"[[ 0  0  0 ... 49 49 49]
 [ 2  3  4 ... 44 45 46]]","[[505.45011103]
 [505.50102069]]",kbcm,-0.5,0.5,
15,0.05,0.0004614852739729966,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[509.91396814]
 [509.91396814]]",kbcm,-0.5,0.6,
16,0.05,,[],"[[0.]
 [0.]]",kbcm,-0.5,0.9,
17,0.1,0.0007034987754511599,"[[ 4  4  4 ... 43 43 43]
 [20 21 22 ... 29 30 31]]","[[278.05739456]
 [259.36906115]]",kbcm,-0.5,0.05,
18,0.1,0.000632623251725642,"[[ 2  2  2 ... 45 45 45]
 [20 21 22 ... 32 33 34]]","[[340.07347541]
 [325.66323244]]",kbcm,-0.5,0.075,
19,0.1,0.0006005977008594474,"[[ 1  1  1 ... 46 46 46]
 [18 19 20 ... 32 33 34]]","[[369.19822941]
 [359.90858548]]",kbcm,-0.5,0.1,
20,0.1,0.0005376925456790999,"[[ 0  0  0 ... 49 49 49]
 [11 12 13 ... 35 36 37]]","[[453.59196444]
 [452.89131782]]",kbcm,-0.5,0.25,
21,0.1,0.0005008977765900756,"[[ 0  0  0 ... 49 49 49]
 [ 4  5  6 ... 42 43 44]]","[[495.81336085]
 [495.696103  ]]",kbcm,-0.5,0.4,
22,0.1,0.0004835022087318168,"[[ 0  0  0 ... 49 49 49]
 [ 1  2  3 ... 46 47 48]]","[[508.75811703]
 [508.75811703]]",kbcm,-0.5,0.5,
23,0.1,0.00047021717116105087,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[510.2082908]
 [510.2082908]]",kbcm,-0.5,0.6,
24,0.1,,[],"[[0.]
 [0.]]",kbcm,-0.5,0.9,
25,0.2,0.0005620369645316442,"[[ 0  0  0 ... 48 48 48]
 [28 29 30 ... 38 39 40]]","[[448.8773978]
 [443.1276673]]",kbcm,-0.5,0.05,
26,0.2,0.0005454022985027792,"[[ 0  0  0 ... 49 49 49]
 [12 13 14 ... 32 33 34]]","[[460.14793637]
 [452.4538782 ]]",kbcm,-0.5,0.075,
