,noise_level,algorithm,above-thld_pixels_std,max_amplitude,center_distance,above-thld_pixels,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
390,1.0,Debiased Sinkhorn,721.543484484556,0.035129357024764024,[24.49233697 24.49189567],2500.0,,minmax,,,,,,0.5,1000.0
391,1.0,Debiased Sinkhorn,721.543484484556,0.033543769856837574,[24.49233785 24.49190995],2500.0,,minmax,,,,,,0.5,500.0
392,1.0,Debiased Sinkhorn,721.543484484556,0.03361003709232746,[24.49233726 24.49189975],2500.0,,minmax,,,,,,0.5,750.0
393,1.0,Debiased Sinkhorn,721.543484484556,0.03830296897382801,[24.49233922 24.49193013],2500.0,,minmax,,,,,,0.7,1000.0
394,1.0,Debiased Sinkhorn,721.543484484556,0.03967945486743385,[24.49234168 24.49193617],2500.0,,minmax,,,,,,0.7,100.0
395,1.0,Debiased Sinkhorn,721.543484484556,0.03830296897382801,[24.49233922 24.49193013],2500.0,,minmax,,,,,,0.7,750.0
435,1.0,Entropic Regularized,721.543484484556,0.00010183370553827598,[24.49915088 24.50549425],2500.0,,,,0.05,,,,,
436,1.0,Entropic Regularized,721.543484484556,8.324178148832274e-05,[24.49859219 24.50567045],2500.0,,,,0.1,,,,,
437,1.0,Entropic Regularized,721.543484484556,6.089044695962108e-05,[24.49879106 24.50580983],2500.0,,,,0.5,,,,,
438,1.0,Entropic Regularized,721.543484484556,7.610410756210198e-05,[24.49883458 24.5058297 ],2500.0,,,,0.75,,,,,
439,1.0,Entropic Regularized,721.543484484556,9.664792639462296e-05,[24.49883546 24.5058257 ],2500.0,,,,1.0,,,,,
440,1.0,Entropic Regularized,721.543484484556,0.00017468122756362516,[24.49879777 24.50573988],2500.0,,,,4.0,,,,,
305,1.0,KBCM,719.0761963656776,0.00041048407047993593,[24.29353047 24.8249165 ],2494.0,,,,0.01,5.0,100.0,,,
192,1.0,TLp-BI,654.0702884760583,0.0006286861362929699,[23.95050194 25.26880017],2217.0,0.001,minmax,10-100,0.001,5.0,,,,
193,1.0,TLp-BI,654.0702884760583,0.0006286861362929699,[23.95050194 25.26880017],2217.0,0.001,zeroone,10-100,0.001,5.0,,,,
194,1.0,TLp-BI,654.0702884760583,0.0006286918899448561,[23.95050205 25.26880004],2217.0,0.05,minmax,10-100,0.001,5.0,,,,
195,1.0,TLp-BI,654.0702884760583,0.0006286918899448561,[23.95050205 25.26880004],2217.0,0.05,zeroone,10-100,0.001,5.0,,,,
196,1.0,TLp-BI,654.0702884760583,0.0006286977613285198,[23.95050217 25.2687999 ],2217.0,0.1,minmax,10-100,0.001,5.0,,,,
197,1.0,TLp-BI,654.0702884760583,0.0006286977613285198,[23.95050217 25.2687999 ],2217.0,0.1,zeroone,10-100,0.001,5.0,,,,
198,1.0,TLp-BI,654.0702884760583,0.0006287682423927166,[23.95050354 25.26879829],2217.0,0.7,minmax,10-100,0.001,5.0,,,,
199,1.0,TLp-BI,654.0702884760583,0.0006287682423927166,[23.95050354 25.26879829],2217.0,0.7,zeroone,10-100,0.001,5.0,,,,
