noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0,0.0003064087834328069,[24.16912024 24.89102328],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,zeroone,10-100,0.5,5.0,,,,
0,0.00018350566861089594,[24.30397364 24.7316641 ],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,minmax,10-100,0.9,5.0,,,,
0,0.00018350566861089594,[24.30397364 24.7316641 ],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,zeroone,10-100,0.9,5.0,,,,
0,0.0001835057180994264,[24.30397359 24.73166416],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,minmax,10-100,0.9,5.0,,,,
0,0.0001835057180994264,[24.30397359 24.73166416],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,zeroone,10-100,0.9,5.0,,,,
0,0.0001835057685979254,[24.30397353 24.73166422],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,minmax,10-100,0.9,5.0,,,,
0,0.0001835057685979254,[24.30397353 24.73166422],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,zeroone,10-100,0.9,5.0,,,,
0,0.00018350637457974532,[24.30397287 24.731665  ],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,minmax,10-100,0.9,5.0,,,,
0,0.00018350637457974532,[24.30397287 24.731665  ],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,zeroone,10-100,0.9,5.0,,,,
0.1,0.008683451876648773,[23.33795225 25.79990381],41,"[[8.27278819]
 [8.11803172]]",TLp-BI,0.001,minmax,10-100,0.001,5.0,,,,
0.1,0.008683451876648773,[23.33795225 25.79990381],41,"[[8.27278819]
 [8.11803172]]",TLp-BI,0.001,zeroone,10-100,0.001,5.0,,,,
0.1,0.008685359396557445,[23.33796649 25.79990884],41,"[[8.27278819]
 [8.11803172]]",TLp-BI,0.05,minmax,10-100,0.001,5.0,,,,
0.1,0.008685359396557445,[23.33796649 25.79990884],41,"[[8.27278819]
 [8.11803172]]",TLp-BI,0.05,zeroone,10-100,0.001,5.0,,,,
0.1,0.008687303807586665,[23.33798101 25.79991399],41,"[[8.27278819]
 [8.11803172]]",TLp-BI,0.1,minmax,10-100,0.001,5.0,,,,
0.1,0.008687303807586665,[23.33798101 25.79991399],41,"[[8.27278819]
 [8.11803172]]",TLp-BI,0.1,zeroone,10-100,0.001,5.0,,,,
0.1,0.008710473832650471,[23.36052094 25.74649251],40,"[[8.2188807 ]
 [7.79422863]]",TLp-BI,0.7,minmax,10-100,0.001,5.0,,,,
0.1,0.008710473832650471,[23.36052094 25.74649251],40,"[[8.2188807 ]
 [7.79422863]]",TLp-BI,0.7,zeroone,10-100,0.001,5.0,,,,
0.1,0.003904744022778319,[23.42906893 25.7586081 ],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.001,minmax,10-100,0.01,5.0,,,,
0.1,0.003904744022778319,[23.42906893 25.7586081 ],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.001,zeroone,10-100,0.01,5.0,,,,
0.1,0.0039050122297236488,[23.42906776 25.75860825],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.05,minmax,10-100,0.01,5.0,,,,
0.1,0.0039050122297236488,[23.42906776 25.75860825],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.05,zeroone,10-100,0.01,5.0,,,,
0.1,0.003905286311879296,[23.42906648 25.75860835],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.1,minmax,10-100,0.01,5.0,,,,
0.1,0.003905286311879296,[23.42906648 25.75860835],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.1,zeroone,10-100,0.01,5.0,,,,
0.1,0.003908580033610958,[23.42905086 25.75860938],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.7,minmax,10-100,0.01,5.0,,,,
0.1,0.003908580033610958,[23.42905086 25.75860938],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.7,zeroone,10-100,0.01,5.0,,,,
0.1,0.0012277992143186977,[23.43508802 25.89888685],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.001,minmax,10-100,0.05,5.0,,,,
0.1,0.0012277992143186977,[23.43508802 25.89888685],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.001,zeroone,10-100,0.05,5.0,,,,
