,noise_level,algorithm,above-thld_pixels,max_amplitude,center_distance,above-thld_pixels_std,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
388,1.0,Debiased Sinkhorn,2500.0,0.051540996712656426,[24.49234397 24.49191167],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.2,3000.0
389,1.0,Debiased Sinkhorn,2500.0,0.051540996712656426,[24.49234397 24.49191167],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.2,4000.0
390,1.0,Debiased Sinkhorn,2500.0,0.035129357024764024,[24.49233697 24.49189567],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.5,1000.0
391,1.0,Debiased Sinkhorn,2500.0,0.033543769856837574,[24.49233785 24.49190995],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.5,500.0
392,1.0,Debiased Sinkhorn,2500.0,0.03361003709232746,[24.49233726 24.49189975],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.5,750.0
393,1.0,Debiased Sinkhorn,2500.0,0.03830296897382801,[24.49233922 24.49193013],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.7,1000.0
394,1.0,Debiased Sinkhorn,2500.0,0.03967945486743385,[24.49234168 24.49193617],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.7,100.0
395,1.0,Debiased Sinkhorn,2500.0,0.03830296897382801,[24.49233922 24.49193013],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.7,750.0
435,1.0,Entropic Regularized,2500.0,0.00010183370553827598,[24.49915088 24.50549425],"[[510.2082908]
 [510.2082908]]",,,,0.05,,,,,
436,1.0,Entropic Regularized,2500.0,8.324178148832274e-05,[24.49859219 24.50567045],"[[510.2082908]
 [510.2082908]]",,,,0.1,,,,,
437,1.0,Entropic Regularized,2500.0,6.089044695962108e-05,[24.49879106 24.50580983],"[[510.2082908]
 [510.2082908]]",,,,0.5,,,,,
438,1.0,Entropic Regularized,2500.0,7.610410756210198e-05,[24.49883458 24.5058297 ],"[[510.2082908]
 [510.2082908]]",,,,0.75,,,,,
439,1.0,Entropic Regularized,2500.0,9.664792639462296e-05,[24.49883546 24.5058257 ],"[[510.2082908]
 [510.2082908]]",,,,1.0,,,,,
440,1.0,Entropic Regularized,2500.0,0.00017468122756362516,[24.49879777 24.50573988],"[[510.2082908]
 [510.2082908]]",,,,4.0,,,,,
305,1.0,KBCM,2494.0,0.00041048407047993593,[24.29353047 24.8249165 ],"[[508.46365464]
 [508.46365464]]",,,,0.01,5.0,100.0,,,
192,1.0,TLp-BI,2217.0,0.0006286861362929699,[23.95050194 25.26880017],"[[465.94822347]
 [459.02090945]]",0.001,minmax,10-100,0.001,5.0,,,,
193,1.0,TLp-BI,2217.0,0.0006286861362929699,[23.95050194 25.26880017],"[[465.94822347]
 [459.02090945]]",0.001,zeroone,10-100,0.001,5.0,,,,
194,1.0,TLp-BI,2217.0,0.0006286918899448561,[23.95050205 25.26880004],"[[465.94822347]
 [459.02090945]]",0.05,minmax,10-100,0.001,5.0,,,,
195,1.0,TLp-BI,2217.0,0.0006286918899448561,[23.95050205 25.26880004],"[[465.94822347]
 [459.02090945]]",0.05,zeroone,10-100,0.001,5.0,,,,
196,1.0,TLp-BI,2217.0,0.0006286977613285198,[23.95050217 25.2687999 ],"[[465.94822347]
 [459.02090945]]",0.1,minmax,10-100,0.001,5.0,,,,
197,1.0,TLp-BI,2217.0,0.0006286977613285198,[23.95050217 25.2687999 ],"[[465.94822347]
 [459.02090945]]",0.1,zeroone,10-100,0.001,5.0,,,,
198,1.0,TLp-BI,2217.0,0.0006287682423927166,[23.95050354 25.26879829],"[[465.94822347]
 [459.02090945]]",0.7,minmax,10-100,0.001,5.0,,,,
199,1.0,TLp-BI,2217.0,0.0006287682423927166,[23.95050354 25.26879829],"[[465.94822347]
 [459.02090945]]",0.7,zeroone,10-100,0.001,5.0,,,,
